File Creation Time UTC,3/30/2021 15:45,,,,,,,,,,,,,,,,
SW Name,iID®DataCaptureSoftware,,,,,,,,,,,,,,,,
SW Version,v01.06,,,,,,,,,ReaderID,,,,,,,
SW BuildDate,11/28/2019,,,,,,,,,25SQCMICSCB30E12,3_30_Tag1,,,,,,
SW StartTime,3/7/2021 19:53,,,,,,,,,,,,,,,,
Lib Version,v1.6.1,,,,,,,,,,,,,,,,
Company,Micro-Sensys GmbH,,,,,,,,,,,,,,,,
OS Version,v10.0.17763.865,,,,,,,,,,,,,,,25SQCMICSBB9BEC003810,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,
,Scan mode,MPC,,,,,,,,,,,,,,UID,Renamed
,,DataGetDelay_Seconds,15,,,,,,,,,,,,,25SQCMICSBBD20F0037E4,Tag1
,,,,,,,,,,,,,,,,25SQCMICSBB192B003825,Tag2
Found Hardware,,,,,,,,,,,,,,,,25SQCMICSBB5C9400383B,Tag3
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,,,,25SQCMICSBB4607003835,Tag4
,0x01,25SQCMICSCB30E12,,,,,,,,,,,,,,25SQCMICSBB540A0037E8,Tag5
,0x10,200192,D0.22,98.26.01,2,,,,,,,,,,,25SQCMICSBBA30900382A,Tag6
,0x11,200193,D0.22,98.26.01,2,,,,,,,,,,,25SQCMICSBBC0BA00382D,Tag7
,,,,,,,,,,,,,,,,25SQCMICSBB0B9E0037EE,Tag8
,,,,,,,,,,,,,,,,25SQCMICSBBE56A003832,Tag9
Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,,,,25SQCMICSBB9BEC003810,Tag10
,,,,,,,,,,,,,,,,25SQCMICSBBFC2500383A,Tag11
,,,,,,,,,,,,,,,,25SQCMICSBB4A5B0037FF,Tag12
,,,,,,,,,,,,,,,,25SQCMICSCB30E12,3_30_Tag1
