File Creation Time UTC,5/18/2021 17:46,,,,,,,,,,,,,,,,,
SW Name,iID®DataCaptureSoftware,,,,,,,,,,,,,,,,,
SW Version,v01.06,,,,,,,,,,,,,,,,,
SW BuildDate,11/28/2019,,,,,,,,,,,,,,,,,
SW StartTime,5/18/2021 12:15,,,,,,,,,,,,,,,,,
Lib Version,v1.6.1,,,,,,,,,,,,,,,,,
Company,Micro-Sensys GmbH,,,,,,,,,,,,,,,,,
OS Version,v10.0.17763.865,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,
,Scan mode,MPC,,,,,,,,,,,,,,,,
,,DataGetDelay_Seconds,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Found Hardware,,,,,,,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,,,,,,
,0x01,25SQCMICSCB30E12,,,,,,,,,,,,,,,,
,0x10,200192,D0.22,98.26.01,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,,,,,,
17:45:59,10,200192,25SQCMICSBB013E003D2E,,DPC,45:45.7,45:58.9,11,Unknown,,x,,,5/18/2021 17:45,,,,
17:46:14,10,200192,25SQCMICSBB013E003D2E,,DPC,45:58.9,46:00.1,4,Unknown,,x,,,5/18/2021 17:46,,,,17:46:14
17:46:29,10,200192,25SQCMICSBB013E003D2E,,DPC,46:26.1,46:28.8,4,Unknown,,x,,,17:46:29,,,,17:46:29
17:46:44,10,200192,25SQCMICSBB013E003D2E,,DPC,46:29.1,46:41.1,41,Departing,x,x,,,17:46:44,,,,17:46:44
17:52:00,10,200192,25SQCMICSBB013E003D2E,,DPC,51:45.2,51:47.6,9,Arriving,x,x,,,17:52:00,,,,17:52:00
18:35:08,10,200192,25SQCMICSBB812C00094F,,DPC,35:05.4,35:07.8,6,Unknown,,x,,,18:35:08,,,,18:35:08
18:35:23,10,200192,25SQCMICSBB812C00094F,,DPC,35:07.8,35:10.5,9,Arriving,x,x,,,18:35:23,,,,18:35:23
18:40:39,10,200192,25SQCMICSBB4DB70054CB,,DPC,40:24.6,40:36.9,24,Arriving,x,x,,,18:40:39,,,,18:40:39
18:40:39,10,200192,25SQCMICSBBFFEB0009A9,,DPC,40:33.0,40:34.5,6,Departing,x,x,,,18:40:39,,,,18:40:39
18:40:54,10,200192,25SQCMICSBB4DB70054CB,,DPC,40:46.5,40:50.4,3,Unknown,,x,,,18:40:54,,,,18:40:54
18:41:09,10,200192,25SQCMICSBB4DB70054CB,,DPC,40:54.0,40:56.4,9,Departing,x,x,,,18:41:09,,,,18:41:09
18:41:09,10,200192,25SQCMICSBBFFEB0009A9,,DPC,41:08.1,41:08.1,1,Unknown,,x,,,18:41:09,,,,18:41:09
18:45:55,10,200192,25SQCMICSBB013E003D2E,,DPC,45:53.1,45:53.1,1,Unknown,,x,,,18:45:55,,,,18:45:55
18:46:10,10,200192,25SQCMICSBB013E003D2E,,DPC,45:59.8,46:06.7,6,Unknown,,x,,,18:46:10,,,,18:46:10
18:46:25,10,200192,25SQCMICSBB013E003D2E,,DPC,46:16.1,46:25.1,31,Departing,x,x,,,18:46:25,,,,18:46:25
18:46:40,10,200192,25SQCMICSBB013E003D2E,,DPC,46:25.1,46:25.4,2,Unknown,x,,,,18:46:40,,,,18:46:40
18:52:26,10,200192,25SQCMICSBBF4E4005599,,DPC,52:18.5,52:18.5,1,Unknown,,x,,,18:52:26,,,,18:52:26
18:52:41,10,200192,25SQCMICSBBDE0000095F,,DPC,52:39.3,52:39.9,3,Departing,x,x,,,18:52:41,,,,18:52:41
18:53:11,10,200192,25SQCMICSBBF4E4005599,,DPC,53:05.5,53:11.2,18,Departing,x,x,,,18:53:11,,,,18:53:11
18:53:26,10,200192,25SQCMICSBBF4E4005599,,DPC,53:12.2,53:12.8,3,Unknown,x,,,,18:53:26,,,,18:53:26
18:53:26,10,200192,25SQCMICSBBDE0000095F,,DPC,53:17.6,53:18.8,5,Arriving,x,x,,,18:53:26,,,,18:53:26
18:55:57,10,200192,25SQCMICSBB6F790054A9,,DPC,55:48.4,55:52.0,11,Departing,x,x,,,18:55:57,,,,18:55:57
18:55:57,10,200192,25SQCMICSBB29B2005783,,DPC,55:54.1,55:56.8,4,Unknown,,x,,,18:55:57,,,,18:55:57
18:56:12,10,200192,25SQCMICSBB29B2005783,,DPC,55:59.0,55:59.0,1,Unknown,,x,,,18:56:12,,,,18:56:12
18:56:27,10,200192,25SQCMICSBB29B2005783,,DPC,56:14.3,56:21.2,14,Unknown,,x,,,18:56:27,,,,18:56:27
18:56:42,10,200192,25SQCMICSBB6F790054A9,,DPC,56:35.7,56:40.2,16,Arriving,x,x,,,18:56:42,,,,18:56:42
18:56:42,10,200192,25SQCMICSBB29B2005783,,DPC,56:39.6,56:42.0,5,Unknown,,x,,,18:56:42,,,,18:56:42
18:56:57,10,200192,25SQCMICSBB29B2005783,,DPC,56:42.4,56:57.1,28,Unknown,,x,,,18:56:57,,,,18:56:57
18:57:12,10,200192,25SQCMICSBB29B2005783,,DPC,56:57.5,57:12.5,51,Unknown,,x,,,18:57:12,,,,18:57:12
18:57:27,10,200192,25SQCMICSBB29B2005783,,DPC,57:12.5,57:15.2,10,Unknown,,x,,,18:57:27,,,,18:57:27
18:57:42,10,200192,25SQCMICSBB0FEF005478,,DPC,57:32.4,57:35.7,10,Departing,x,x,,,18:57:42,,,,18:57:42
18:57:57,10,200192,25SQCMICSBB0FEF005478,,DPC,57:56.8,57:57.7,4,Arriving,x,x,,,18:57:57,,,,18:57:57
18:58:43,10,200192,25SQCMICSBB9058005763,,DPC,58:27.8,58:38.6,13,Unknown,,x,,,18:58:43,,,,18:58:43
18:58:58,10,200192,25SQCMICSBB9058005763,,DPC,58:49.1,58:57.8,15,Unknown,,x,,,18:58:58,,,,18:58:58
18:59:43,10,200192,25SQCMICSBB9058005763,,DPC,59:36.1,59:43.0,13,Unknown,,x,,,18:59:43,,,,18:59:43
18:59:58,10,200192,25SQCMICSBB9058005763,,DPC,59:43.0,59:54.1,21,Unknown,,x,,,18:59:58,,,,18:59:58
17:45:59,10,200192,25SQCMICSBB8ACB00576D,,DPC,00:01.1,00:06.5,18,Departing,x,x,,,19:00:13,,,,17:45:59
17:46:14,10,200192,25SQCMICSBB9058005763,,DPC,00:11.3,00:12.8,6,Departing,x,x,,,19:00:13,,,,17:46:14
17:46:29,10,200192,25SQCMICSBB9058005763,,DPC,00:13.2,00:25.2,41,Departing,x,x,,,19:00:28,,,,17:46:29
17:46:44,10,200192,25SQCMICSBB96110054E1,,DPC,03:10.1,03:13.7,10,Departing,x,x,,,19:03:14,,,,17:46:44
17:52:00,10,200192,25SQCMICSBB96110054E1,,DPC,03:13.7,03:14.3,3,Unknown,x,,,,19:03:29,,,,17:52:00
18:35:08,10,200192,25SQCMICSBB96110054E1,,DPC,04:02.5,04:03.1,3,Arriving,x,x,,,19:04:14,,,,18:35:08
18:35:23,10,200192,25SQCMICSBB4C5C0054ED,,DPC,05:56.2,05:59.2,11,Departing,x,x,,,19:05:59,,,,18:35:23
18:40:39,10,200192,25SQCMICSBB4C5C0054ED,,DPC,05:59.2,05:59.5,2,Unknown,x,,,,19:06:14,,,,18:40:39
18:40:39,10,200192,25SQCMICSBB4C5C0054ED,,DPC,06:29.4,06:30.0,3,Arriving,x,x,,,19:06:44,,,,18:40:39
18:40:54,10,200192,25SQCMICSBBFC62000980,,DPC,13:06.7,13:09.4,5,Unknown,,x,,,19:13:15,,,,18:40:54
18:41:09,10,200192,25SQCMICSBBFC62000980,,DPC,13:17.5,13:20.2,10,Departing,x,x,,,19:13:30,,,,18:41:09
18:41:09,10,200192,25SQCMICSBBFC62000980,,DPC,14:03.0,14:04.8,7,Arriving,x,x,,,19:14:16,,,,18:41:09
18:45:55,10,200192,25SQCMICSBBD4080054F6,,DPC,15:18.7,15:30.7,25,Departing,x,x,,,19:15:31,,,,18:45:55
18:46:10,10,200192,25SQCMICSBBD4080054F6,,DPC,15:31.0,15:37.9,24,Unknown,x,,,,19:15:46,,,,18:46:10
