File Creation Time UTC,2021-06-16 17:47:58
SW Name,iID®DataCaptureSoftware
SW Version,v01.06
SW BuildDate,2019-11-28
SW StartTime,2021-05-18 12:15:39
Lib Version,v1.6.1
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,MPC
,,DataGetDelay_Seconds,15

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB30E12
,0x10,200192,D0.22,98.26.01,2


Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2
2021-06-16 17:50:11.525,10,200192,25SQCMICSBB295A0055B1,,DPC,2021-06-16 17:50:09.600,2021-06-16 17:50:11.700,6,Unknown,,x
2021-06-16 17:50:26.572,10,200192,25SQCMICSBB295A0055B1,,DPC,2021-06-16 17:50:11.700,2021-06-16 17:50:12.000,2,Unknown,,x
2021-06-16 18:17:16.416,10,200192,25SQCMICSBBD2B9005662,,DPC,2021-06-16 18:17:06.500,2021-06-16 18:17:08.300,4,Departing,x,x
2021-06-16 18:22:02.213,10,200192,25SQCMICSBBD2B9005662,,DPC,2021-06-16 18:21:49.300,2021-06-16 18:21:58.600,5,Departing,x,x
2021-06-16 18:30:33.697,10,200192,25SQCMICSBB6BBF00575D,,DPC,2021-06-16 18:30:32.400,2021-06-16 18:30:33.600,4,Unknown,,x
2021-06-16 18:30:48.744,10,200192,25SQCMICSBB6BBF00575D,,DPC,2021-06-16 18:30:34.000,2021-06-16 18:30:48.700,31,Departing,x,x
2021-06-16 18:31:03.822,10,200192,25SQCMICSBB6BBF00575D,,DPC,2021-06-16 18:30:49.000,2021-06-16 18:30:49.600,2,Unknown,x,
2021-06-16 18:32:34.197,10,200192,25SQCMICSBBCB0A0054B3,,DPC,2021-06-16 18:32:25.700,2021-06-16 18:32:29.900,8,Departing,x,x
2021-06-16 18:33:19.400,10,200192,25SQCMICSBBCB0A0054B3,,DPC,2021-06-16 18:33:09.900,2021-06-16 18:33:10.500,3,Unknown,,x
2021-06-16 18:39:50.463,10,200192,25SQCMICSBB4D0E005579,,DPC,2021-06-16 18:39:36.300,2021-06-16 18:39:48.000,16,Departing,x,x
2021-06-16 18:40:05.541,10,200192,25SQCMICSBB6BBF00575D,,DPC,2021-06-16 18:39:57.600,2021-06-16 18:39:59.700,7,Unknown,,x
2021-06-16 18:40:35.619,10,200192,25SQCMICSBB6BBF00575D,,DPC,2021-06-16 18:40:31.400,2021-06-16 18:40:35.600,10,Unknown,,x
2021-06-16 18:40:50.744,10,200192,25SQCMICSBB6BBF00575D,,DPC,2021-06-16 18:40:36.200,2021-06-16 18:40:36.800,3,Unknown,,x
2021-06-16 18:43:06.119,10,200192,25SQCMICSBB4D0E005579,,DPC,2021-06-16 18:42:56.200,2021-06-16 18:42:59.200,10,Arriving,x,x
2021-06-16 18:55:23.338,10,200192,25SQCMICSBBCF750056B5,,DPC,2021-06-16 18:55:08.900,2021-06-16 18:55:23.300,16,Departing,x,x
