File Creation Time UTC,2021-08-28 18:21:20
SW Name,iID®DataCaptureSoftware
SW Version,v01.06
SW BuildDate,2019-11-28
SW StartTime,2021-08-26 16:58:16
Lib Version,v1.6.1
Company,Micro-Sensys GmbH
OS Version,v10.0.17763.865


Settings
,Scan mode,MPC
,,DataGetDelay_Seconds,15

Found Hardware
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas
,0x01,25SQCMICSCB30E12
,0x10,200192,D0.22,98.26.01,2
,0x11,200061,D0.21,98.05.11,2


Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2
2021-08-28 18:28:28.749,11,200061,25SQCMICSBB7220005A0B,,DPC,2021-08-28 18:28:15.500,2021-08-28 18:28:16.700,4,Arriving,x,x
2021-08-28 18:37:30.312,11,200061,25SQCMICSBBFD780059FA,,DPC,2021-08-28 18:37:19.100,2021-08-28 18:37:26.900,4,Departing,x,x
2021-08-28 18:41:01.015,11,200061,25SQCMICSBBFD780059FA,,DPC,2021-08-28 18:40:49.500,2021-08-28 18:40:51.300,7,Arriving,x,x
2021-08-28 18:50:47.343,10,200192,25SQCMICSBBAC17005A2C,,DPC,2021-08-28 18:50:33.100,2021-08-28 18:50:47.200,15,Arriving,x,x
2021-08-28 18:51:17.390,10,200192,25SQCMICSBBAC17005A2C,,DPC,2021-08-28 18:51:07.400,2021-08-28 18:51:08.000,3,Unknown,x,
2021-08-28 18:51:48.062,11,200061,25SQCMICSBBAC17005A2C,,DPC,2021-08-28 18:51:38.900,2021-08-28 18:51:45.500,7,Departing,x,x
2021-08-28 18:52:03.062,11,200061,25SQCMICSBBAC17005A2C,,DPC,2021-08-28 18:51:56.700,2021-08-28 18:52:03.000,12,Departing,x,x
2021-08-28 18:52:18.109,11,200061,25SQCMICSBBAC17005A2C,,DPC,2021-08-28 18:52:03.300,2021-08-28 18:52:05.400,6,Arriving,x,x
2021-08-28 19:06:50.827,11,200061,25SQCMICSBB0451005954,,DPC,2021-08-28 19:06:37.900,2021-08-28 19:06:49.000,13,Unknown,,x
2021-08-28 19:07:05.859,11,200061,25SQCMICSBB0451005954,,DPC,2021-08-28 19:06:51.100,2021-08-28 19:07:02.500,4,Unknown,,x
2021-08-28 19:07:20.968,11,200061,25SQCMICSBB0451005954,,DPC,2021-08-28 19:07:07.000,2021-08-28 19:07:07.300,2,Unknown,x,
2021-08-28 19:10:35.937,10,200192,25SQCMICSBB0451005954,,DPC,2021-08-28 19:10:29.200,2021-08-28 19:10:29.200,1,Unknown,x,
2021-08-28 19:10:50.984,10,200192,25SQCMICSBB0451005954,,DPC,2021-08-28 19:10:41.900,2021-08-28 19:10:42.800,2,Arriving,x,x
2021-08-28 19:21:22.780,10,200192,25SQCMICSBBD08F0057E6,,DPC,2021-08-28 19:21:15.200,2021-08-28 19:21:17.900,8,Departing,x,x
2021-08-28 19:22:23.140,10,200192,25SQCMICSBB738A005AA9,,DPC,2021-08-28 19:22:18.200,2021-08-28 19:22:19.100,4,Unknown,x,
2021-08-28 19:23:38.374,10,200192,25SQCMICSBBD08F0057E6,,DPC,2021-08-28 19:23:33.800,2021-08-28 19:23:38.300,10,Unknown,x,
2021-08-28 19:23:53.515,10,200192,25SQCMICSBBD08F0057E6,,DPC,2021-08-28 19:23:38.600,2021-08-28 19:23:43.400,17,Arriving,x,x
2021-08-28 19:26:08.999,10,200192,25SQCMICSBB94F2005A12,,DPC,2021-08-28 19:25:57.300,2021-08-28 19:26:06.000,30,Departing,x,x
2021-08-28 19:28:24.421,10,200192,25SQCMICSBBDC2B00593C,,DPC,2021-08-28 19:28:20.700,2021-08-28 19:28:23.400,8,Unknown,,x
2021-08-28 19:28:39.452,10,200192,25SQCMICSBBDC2B00593C,,DPC,2021-08-28 19:28:24.600,2021-08-28 19:28:24.600,1,Unknown,,x
2021-08-28 19:28:55.062,11,200061,25SQCMICSBBFD780059FA,,DPC,2021-08-28 19:28:49.300,2021-08-28 19:28:51.100,2,Departing,x,x
2021-08-28 19:29:10.155,11,200061,25SQCMICSBBFD780059FA,,DPC,2021-08-28 19:28:55.900,2021-08-28 19:28:58.000,5,Unknown,x,
2021-08-28 19:30:54.843,10,200192,25SQCMICSBBCBDE005A02,,DPC,2021-08-28 19:30:43.700,2021-08-28 19:30:45.800,8,Departing,x,x
2021-08-28 19:31:24.968,10,200192,25SQCMICSBB379F005A15,,DPC,2021-08-28 19:31:24.000,2021-08-28 19:31:24.900,4,Unknown,,x
